evidencefile,package,primaryorsecondary,relevance,qualitynote
Keith_Soyka_Code_&_Context/README.md,Keith_Soyka_Code_&_Context,Primary,High,Best concise technical overview in code package.
Keith_Soyka_Code_&_Context/main.py,Keith_Soyka_Code_&_Context,Primary,High,Direct implementation evidence.
Keith_Soyka_Code_&_Context/context_weaver.py,Keith_Soyka_Code_&_Context,Primary,High,Shows meaningful retrieval/context logic.
Keith_Soyka_Code_&_Context/llmrouter_enhanced.py,Keith_Soyka_Code_&_Context,Primary,High,Shows multi-provider routing.
Keith_Soyka_Code_&_Context/enhanced_database_service.py,Keith_Soyka_Code_&_Context,Primary,High,Maps concept vocabulary into storage.
Keith_Soyka_Code_&_Context/Prisma_Schema.txt,Keith_Soyka_Code_&_Context,Primary,High,Structured system definition.
Wiki & Repos/GESTALTVIEW_v6.23_March_6th_2026.md,Wiki & Repos,Secondary,High,Useful for mature framing; later than raw code.
Wiki & Repos/snapshot-2026-03-08T13_51_52_514Z.md,Wiki & Repos,Secondary,Medium,Good chronology support.
GestaltView_#3_of_#3_12_29_25/GestaltView-Complete-Forensic-Record.md,GestaltView_#3_of_#3_12_29_25,Secondary,Medium,"Interpretive and persuasive, not neutral on every claim."
GestaltView Dynamic Corpus Compendium December 30th 2025/GestaltView_Amalgamation_12_30_25.txt,GestaltView Dynamic Corpus Compendium December 30th 2025,Secondary,Medium,High-density narrative archive.
May_August_GestaltView_Create/...,May_August_GestaltView_Create,Primary,Medium,Origin-layer evidence; needs exact pathing.
GestaltView_Communication_&_Language_Guide_v2.md,Standalone,Primary,High,Best available claim-taxonomy doc.
Screenshots #4.pdf,Screenshot Corpus,Primary,High,"Covers CL-001, CL-003, CL-004: Pepperdine email, FN forum, OTS receipt."
Misc_Screenshots_2025_GestaltView.pdf,Screenshot Corpus,Primary,High,Covers CL-002 with BlockChained IP directory and Bitcoin block numbers.
August To September 2025 Screenshots.pdf,Screenshot Corpus,Primary,High,Covers CL-002 and CL-005: OTS receipts and Gemini show-thinking stream.
July 22nd 2025 Screenshots.pdf,Screenshot Corpus,Primary,High,Covers CL-002 with OTS confirmations and schema timestamp evidence.
Seven-Month-Emergence-Of-GestaltView.pdf,Audio Transcript,Primary,High,Covers CL-001 through CL-005 with method origins and timeline references.
