package,relative_path,sha256,size_bytes,modified_utc
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #5.pdf,a0db4069e859c5c334b684b02f428878eb1c92f3cc216a0aa423289b15fbe133,20266702,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Context Layer.pdf,e6955d8ea6c1ce80869cd5e77ee50130aeab4b6fbc78ed654079278697247c86,4076609,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #5.pdf,9c0d34b165ab0f0b6a283c9cbc14abb2c7bef90b1649c3acc48b7af667fd8efc,11900965,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #1.pdf,851923481a93f0c2c671f7fbaafec3c5b307d1fc35251e612d2a76ba3d47389e,6106373,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Merged_Markdowns_12_28_25.txt,5424b1215995fae4abdbdf7092360719793b0c51e51748dee5c3c2bdbe878b53,3956217,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Special Applications And Screenshots August 11th 2025 ©️🔐 Keith Soyka.pdf,0ddddc9f0902bf83ed15c162a9705c64a1bc1cea0f31680022ab13a85ac4ed61,10202596,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #4.pdf,7110bae2448352c4ebb114b8aa54fccbdade6d138f156899d0ebd24ae195c470,21613565,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,How I Taught AI To Care ©️ Keith Soyka 2025.pdf,b3ccd6056f9da831dfba52b95230fa4a4742b6400b56b37a8a7e94f05e52ebe8,11387114,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,"Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf",154d8613588468c371aff87abb6822c6aff5524e0efe2462c650afd0bd43bd1d,7853314,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Context_Seed (1).pdf,ab7fe0d43031bb86af312ad428dd958edd237463e7db614f0fb2181e186001ba,10293536,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #2.pdf,23d115e178fb0d80acebdaf57b9c75de6c7c3cb177fba27c3812a079b60ea9ee,12736147,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #7.pdf,117ea9e3da80b3a427f938db4e6b63ac41dd5b953a8801e8d770e87ecc4c741b,12325009,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #8 w_Symbiosis Event Gemini.pdf,53530a0f3d5abef34e6cbfc16c3f9892ca6dbdf4b1ae9bd8f05b48554bf6a7c6,10709976,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView_Amalgamation_12_30_25.txt,4d6731287714a1c8b024952fa4de9a2685f51ed974c816e20539512a7538d3cd,5690682,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,APIYNBDATASCHEMA.txt,e583cf18fc1e34e16bf71f70e3711ce8ed84213006c2a382380f8b6b57d8da73,14224570,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #7.pdf,15c7eeb3bfddfa9ca9d51711d6966a7568b41344d63dc83aff25a0a12f24290a,10053305,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView_Epiphanies (1).pdf,9c7760962de03be57858c9af66e82441cc14f42280b27fe879d20af310e67b2e,9287859,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #3.pdf,75a7155a4e84ce329da22346a4cb27ddede38e00307b042eb51fdd5d854377b4,24988906,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Rapid Prototype Engine .pdf,c6a12da4b22028bca47c2be4286aa2dc1c6881115269b7fe9c4bfdfae5502f1c,6365952,2025-12-30T22:27:58+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #3.pdf,1e98d06ae09a13bc45918460bf51126773c4d88abc6a388ee1c460093ab4fc09,13517132,2025-12-30T22:27:58+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Shots_Of_Screen.pdf,8c99ff613c3366f8fe87b2ec546b91607f2a8738b472cc9708686e5e23e95033,4800814,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots_#1.pdf,3c54040157a93f5a35c3ca183e8b3f1a229cd045a1798475cbfe75e923cd479e,13383518,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #2.pdf,38d73442be0956c6443b0bce966284bd23cfa787d33c3f23235b71cfe2cf530f,18611827,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #6.pdf,493bb02fe622db81967b1b5dfe7bacc4a9961d42294410d73f6c664b4ec17cd6,8585782,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #4.pdf,f0981a86c86da74ece8c71893a65bef816d1c3b8c97cc79e98ed2870a68a77ff,9346783,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Logic.txt,d5110f6cc0b3c93590130f26c71d2db83dc074b49633a3f9f355f7984dc83854,3500230,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #1.pdf,ccd8297ffcd81580496d601332a7d369546ce9383ebecf9dc6755fe7a386516a,10808749,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Schema Schema.pdf,2b8892b6fb0704a7f264be04dbcc73238bcbb0cc870ddb1577a32ca8d286ee1d,12524541,2025-12-30T22:28:04+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_architecture.png,188d43cb1db3060860b1a877bb9067c3a6094f85d8d4bd3e696117bbe6d2cca0,869929,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_timeline_1.png,25522f86d2f13be8eb2948fa52f4c6c1af6e2ebac29825cf296bdaa14c9ac118,298051,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,90-DAY-EXECUTION-PLAN.md,d07f265add8d9427125d48764dcf10b5e3d3cde743b085f46e740dee8accac7f,12050,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Package-Manifest.md,53bb4253e14583ec0a8308e8d0df5ffe5cd8f0c9bece82c017d6107cdc38aac9,13805,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,CONTACT-TRACKING-TEMPLATE.md,b80a79386d2b727f4c1315101d92d1425ec30282188f50dce83e213a29010118,13350,2025-12-29T04:28:00+00:00
