table,domain,columns,foreign_keys_out,references_in,sample_columns
_deprecated_artifacts,Legacy Commerce,9,1,0,"id, build_job_id, artifact_type, storage_bucket, storage_path, signed_url_expires_at"
_deprecated_build_jobs,Legacy Commerce,11,1,1,"id, order_id, package_draft_id, build_version, status, started_at"
_deprecated_buyers,Legacy Commerce,4,0,2,"id, email, company_name, created_at"
_deprecated_order_items,Legacy Commerce,8,0,0,"id, order_id, item_type, item_ref, label, quantity"
_deprecated_orders,Legacy Commerce,14,2,0,"id, buyer_id, package_draft_id, stripe_checkout_session_id, stripe_payment_intent_id, currency"
_deprecated_package_drafts,Legacy Commerce,21,1,3,"id, buyer_id, use_case_slug, tier, seats_requested, backend"
_deprecated_support_requests,Legacy Commerce,8,1,0,"id, package_draft_id, order_id, request_type, summary, detail"
agent_autobiographies,Agent Personhood,16,2,0,"autobiography_id, agent_id, version_id, evolving_self_story, key_turning_points, stable_themes"
agent_code_artifacts,Agent Personhood,12,3,0,"id, agent_id, manifest_id, source_asset_id, file_path, language"
agent_constitutions,Agent Personhood,15,2,0,"constitution_id, agent_id, version_id, identity_handle, public_name, internal_designation"
agent_context_views,Agent Personhood,12,3,0,"context_view_id, agent_id, scope, relationship_id, collaborative_space_id, channel_key"
agent_governance_policies,Agent Personhood,11,2,0,"governance_policy_id, agent_id, version_id, mutation_policy, review_policy, sharing_policy"
agent_knowledge_links,Agent Personhood,9,2,0,"id, agent_id, asset_id, link_type, scope, approved_by"
agent_manifest_entries,Agent Personhood,9,1,0,"id, manifest_id, entry_type, logical_path, source_table, source_id"
agent_manifests,Agent Personhood,9,3,3,"id, agent_id, version_id, parent_manifest_id, manifest_version, status"
agent_memories,Agent Personhood,9,2,0,"id, agent_id, source_asset_id, memory_type, summary, detail_payload"
agent_memory_records,Agent Personhood,27,3,1,"memory_id, agent_id, version_id, source_asset_id, owner_scope, memory_kind"
agent_preference_nodes,Agent Personhood,24,2,0,"preference_id, agent_id, version_id, owner_scope, preference_kind, mutation_class"
