package,relative_path,filename,extension,size_bytes,size_mb,modified_utc
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #5.pdf,GestaltView Dynamic Corpus Part #5.pdf,.pdf,20266702,19.327833,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Context Layer.pdf,GestaltView Context Layer.pdf,.pdf,4076609,3.887757,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #5.pdf,Screenshots #5.pdf,.pdf,11900965,11.349645,2025-12-30T22:27:46+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #1.pdf,Screenshots #1.pdf,.pdf,6106373,5.823491,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Merged_Markdowns_12_28_25.txt,Merged_Markdowns_12_28_25.txt,.txt,3956217,3.772943,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Special Applications And Screenshots August 11th 2025 ©️🔐 Keith Soyka.pdf,Special Applications And Screenshots August 11th 2025 ©️🔐 Keith Soyka.pdf,.pdf,10202596,9.729954,2025-12-30T22:27:48+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #4.pdf,GestaltView Dynamic Corpus Part #4.pdf,.pdf,21613565,20.612302,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,How I Taught AI To Care ©️ Keith Soyka 2025.pdf,How I Taught AI To Care ©️ Keith Soyka 2025.pdf,.pdf,11387114,10.859598,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,"Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf","Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf",.pdf,7853314,7.489504,2025-12-30T22:27:50+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Context_Seed (1).pdf,Context_Seed (1).pdf,.pdf,10293536,9.816681,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #2.pdf,Screenshots #2.pdf,.pdf,12736147,12.146136,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #7.pdf,Screenshots #7.pdf,.pdf,12325009,11.754045,2025-12-30T22:27:52+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #8 w_Symbiosis Event Gemini.pdf,Screenshots #8 w_Symbiosis Event Gemini.pdf,.pdf,10709976,10.213829,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView_Amalgamation_12_30_25.txt,GestaltView_Amalgamation_12_30_25.txt,.txt,5690682,5.427057,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,APIYNBDATASCHEMA.txt,APIYNBDATASCHEMA.txt,.txt,14224570,13.565607,2025-12-30T22:27:54+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #7.pdf,GestaltView Dynamic Corpus Part #7.pdf,.pdf,10053305,9.587579,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView_Epiphanies (1).pdf,GestaltView_Epiphanies (1).pdf,.pdf,9287859,8.857593,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #3.pdf,GestaltView Dynamic Corpus Part #3.pdf,.pdf,24988906,23.831278,2025-12-30T22:27:56+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Rapid Prototype Engine .pdf,Rapid Prototype Engine .pdf,.pdf,6365952,6.071045,2025-12-30T22:27:58+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #3.pdf,Screenshots #3.pdf,.pdf,13517132,12.890942,2025-12-30T22:27:58+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Shots_Of_Screen.pdf,Shots_Of_Screen.pdf,.pdf,4800814,4.578413,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots_#1.pdf,Screenshots_#1.pdf,.pdf,13383518,12.763517,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #2.pdf,GestaltView Dynamic Corpus Part #2.pdf,.pdf,18611827,17.749621,2025-12-30T22:28:00+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #6.pdf,GestaltView Dynamic Corpus Part #6.pdf,.pdf,8585782,8.18804,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #4.pdf,Screenshots #4.pdf,.pdf,9346783,8.913787,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Logic.txt,Logic.txt,.txt,3500230,3.338079,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #1.pdf,GestaltView Dynamic Corpus Part #1.pdf,.pdf,10808749,10.308026,2025-12-30T22:28:02+00:00
GestaltView Dynamic Corpus Compendium December 30th 2025,Schema Schema.pdf,Schema Schema.pdf,.pdf,12524541,11.944333,2025-12-30T22:28:04+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_architecture.png,gestaltview_architecture.png,.png,869929,0.829629,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_timeline_1.png,gestaltview_timeline_1.png,.png,298051,0.284244,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,90-DAY-EXECUTION-PLAN.md,90-DAY-EXECUTION-PLAN.md,.md,12050,0.011492,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Package-Manifest.md,GestaltView-Package-Manifest.md,.md,13805,0.013165,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,CONTACT-TRACKING-TEMPLATE.md,CONTACT-TRACKING-TEMPLATE.md,.md,13350,0.012732,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Quick-Reference-Guide.md,GestaltView-Quick-Reference-Guide.md,.md,18126,0.017286,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,ADHD-Decision-Tree-Emergency.md,ADHD-Decision-Tree-Emergency.md,.md,8011,0.00764,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_timeline.png,gestaltview_timeline.png,.png,532088,0.507439,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,generated_image.png,generated_image.png,.png,973556,0.928455,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,QUICK-REFERENCE-MATRIX.md,QUICK-REFERENCE-MATRIX.md,.md,15267,0.01456,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Complete-Report-12-28-25.md,GestaltView-Complete-Report-12-28-25.md,.md,19504,0.0186,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-Complete-Forensic-Record.md,GestaltView-Complete-Forensic-Record.md,.md,44072,0.04203,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView-90-Day-Action-Plan.csv,GestaltView-90-Day-Action-Plan.csv,.csv,2867,0.002734,2025-12-29T04:28:00+00:00
GestaltView_#3_of_#3_12_29_25,MASTER-OUTREACH-SUITE.md,MASTER-OUTREACH-SUITE.md,.md,15078,0.01438,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_moats.png,gestaltview_moats.png,.png,416766,0.397459,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView_Metrics_Summary.txt,GestaltView_Metrics_Summary.txt,.txt,5099,0.004863,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,gestaltview_roadmap.png,gestaltview_roadmap.png,.png,314911,0.300323,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,INVESTOR-DUE-DILIGENCE.md,INVESTOR-DUE-DILIGENCE.md,.md,13702,0.013067,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,GestaltView_Master_Timeline_2025.json,GestaltView_Master_Timeline_2025.json,.json,14901,0.014211,2025-12-29T04:28:02+00:00
GestaltView_#3_of_#3_12_29_25,STEWARDSHIP-MANIFESTO.md,STEWARDSHIP-MANIFESTO.md,.md,13291,0.012675,2025-12-29T04:28:02+00:00
