canonical_key,group_count,target_extension,topic_bucket,member_original_filenames,member_ots_files
gv beta 0 1 keith soyka 2025 pdf,6,.pdf,Miscellaneous,GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (2) | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (4) | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (1) (1) | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (3) | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (1),GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (2).ots | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf.ots | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (4).ots | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (1) (1).ots | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (3).ots | GV-Beta-0.1 ©️ Keith Soyka 2025.pdf (1).ots
copy of gestaltview gemini gem starter edition 026 keith soyka 2025 pdf,3,.pdf,Gemini Gem,Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (2) | Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (3) | Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (1),Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (2).ots | Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (3).ots | Copy of GestaltView Gemini Gem - Starter Edition #026©️ Keith Soyka 2025.pdf (1).ots
everything you need to know about gestaltview keith soyka 2025 pdf,3,.pdf,Miscellaneous,Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025.pdf (1) | Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025 (1).pdf | Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025.pdf (1) (1),Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025.pdf (1).ots | Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025 (1).pdf.ots | Everything You Need To Know About GestaltView  ©️ Keith Soyka 2025.pdf (1) (1).ots
gestaltview prototype v6 alzheimer s and legacy edition keith soyka 2025 pdf,3,.pdf,Prototype,GestaltView Prototype V6- Alzheimer's & Legacy Edition-©️ Keith Soyka 2025.pdf (1) (1) | GestaltView Prototype V6- Alzheimer's & Legacy Edition-©️ Keith Soyka 2025.pdf (1) | GestaltView Prototype V6 Alzheimer's and Legacy Edition ©️ Keith Soyka 2025 (1).pdf,GestaltView Prototype V6- Alzheimer's & Legacy Edition-©️ Keith Soyka 2025.pdf (1) (1).ots | GestaltView Prototype V6- Alzheimer's & Legacy Edition-©️ Keith Soyka 2025.pdf (1).ots | GestaltView Prototype V6 Alzheimer's and Legacy Edition ©️ Keith Soyka 2025 (1).pdf.ots
the eagle remembers,3,,Miscellaneous,The_Eagle_Remembers (2) | The_Eagle_Remembers | The_Eagle_Remembers (1),The_Eagle_Remembers (2).ots | The_Eagle_Remembers.ots | The_Eagle_Remembers (1).ots
conner dewolfe custom prompt keith soyka 2025 pdf,2,.pdf,Prompt,Conner DeWolfe Custom Prompt ©️ Keith Soyka 2025.pdf (1) (1) | Conner DeWolfe Custom Prompt ©️ Keith Soyka 2025.pdf (2),Conner DeWolfe Custom Prompt ©️ Keith Soyka 2025.pdf (1) (1).ots | Conner DeWolfe Custom Prompt ©️ Keith Soyka 2025.pdf (2).ots
gestaltview business plan compendium copyright notice 2025 keith soyka pdf,2,.pdf,IP / Legal,GestaltView Business Plan Compendium_Copyright Notice_© 2025 Keith Soyka .pdf (1) | GestaltView Business Plan Compendium-Copyright Notice-© 2025 Keith Soyka .pdf,GestaltView Business Plan Compendium_Copyright Notice_© 2025 Keith Soyka .pdf (1).ots | GestaltView Business Plan Compendium-Copyright Notice-© 2025 Keith Soyka .pdf.ots
gestaltview ecosystem recursive dev zip,2,.zip,Repo / Code Bundle,GestaltView-Ecosystem-Recursive-Dev.zip (1) | GestaltView-Ecosystem-Recursive-Dev.zip,GestaltView-Ecosystem-Recursive-Dev.zip (1).ots | GestaltView-Ecosystem-Recursive-Dev.zip.ots
gestaltview intellectual property dossier document id gvd ip dossier 003 date june 22nd 2025 keith soyka pdf,2,.pdf,IP / Legal,GestaltView Intellectual Property Dossier_Document ID_ GVD-IP-DOSSIER-003_Date_ June 22nd 2025_©️🔐 Keith Soyka .pdf | GestaltView Intellectual Property Dossier_Document ID_ GVD-IP-DOSSIER-003_Date_ June 22nd 2025_©️🔐 Keith Soyka .pdf (1),GestaltView Intellectual Property Dossier_Document ID_ GVD-IP-DOSSIER-003_Date_ June 22nd 2025_©️🔐 Keith Soyka .pdf.ots | GestaltView Intellectual Property Dossier_Document ID_ GVD-IP-DOSSIER-003_Date_ June 22nd 2025_©️🔐 Keith Soyka .pdf (1).ots
gestaltview prototype v8 adhd application keith soyka 2025 pdf,2,.pdf,Prototype,GestaltView Prototype V8 ADHD Application ©️ Keith Soyka 2025.pdf | GestaltView Prototype V8 ADHD Application ©️ Keith Soyka 2025 (1).pdf,GestaltView Prototype V8 ADHD Application ©️ Keith Soyka 2025.pdf.ots | GestaltView Prototype V8 ADHD Application ©️ Keith Soyka 2025 (1).pdf.ots
gestaltview public compendium copyright notice 2025 keith soyka pdf,2,.pdf,IP / Legal,GestaltView Public Compendium Copyright Notice_© 2025 Keith Soyka .pdf (1) | GestaltView Public Compendium Copyright Notice-© 2025 Keith Soyka  (1).pdf,GestaltView Public Compendium Copyright Notice_© 2025 Keith Soyka .pdf (1).ots | GestaltView Public Compendium Copyright Notice-© 2025 Keith Soyka  (1).pdf.ots
gestaltview roadmap to user adoption compendium copyright notice 2025 keith soyka pdf,2,.pdf,IP / Legal,GestaltView Roadmap to User Adoption Compendium-Copyright Notice-© 2025 Keith Soyka .pdf | GestaltView Roadmap to User Adoption Compendium_Copyright Notice_© 2025 Keith Soyka .pdf (1),GestaltView Roadmap to User Adoption Compendium-Copyright Notice-© 2025 Keith Soyka .pdf.ots | GestaltView Roadmap to User Adoption Compendium_Copyright Notice_© 2025 Keith Soyka .pdf (1).ots
how i taught ai to care keith soyka 2025 pdf,2,.pdf,Miscellaneous,How I Taught AI To Care ©️ Keith Soyka 2025 (1).pdf (1) | How I Taught AI To Care ©️ Keith Soyka 2025.pdf (1),How I Taught AI To Care ©️ Keith Soyka 2025 (1).pdf (1).ots | How I Taught AI To Care ©️ Keith Soyka 2025.pdf (1).ots
keith soyka gestaltview profile zero keith soyka 2025 pdf,2,.pdf,Profile / PLK,Keith Soyka GestaltView Profile Zero ©️ Keith Soyka 2025.pdf (1) | Keith Soyka GestaltView Profile Zero ©️ Keith Soyka 2025 (1).pdf (1),Keith Soyka GestaltView Profile Zero ©️ Keith Soyka 2025.pdf (1).ots | Keith Soyka GestaltView Profile Zero ©️ Keith Soyka 2025 (1).pdf (1).ots
keith soyka s personal compendium for gestaltview may 2025 keith soyka 05 28 2025 pdf,2,.pdf,Compendium,Keith Soyka's Personal Compendium For GestaltView ©️ May 2025 Keith Soyka 05_28_2025 (1).pdf (1) | Keith Soyka's Personal Compendium For GestaltView ©️ May 2025 Keith Soyka 05_28_2025.pdf (1),Keith Soyka's Personal Compendium For GestaltView ©️ May 2025 Keith Soyka 05_28_2025 (1).pdf (1).ots | Keith Soyka's Personal Compendium For GestaltView ©️ May 2025 Keith Soyka 05_28_2025.pdf (1).ots
preliminary implementation promise alex sak perso pdf,2,.pdf,Miscellaneous,Preliminary Implementation Promise_ Alex Sak Perso.pdf (1) | Preliminary Implementation Promise_ Alex Sak Perso.pdf,Preliminary Implementation Promise_ Alex Sak Perso.pdf (1).ots | Preliminary Implementation Promise_ Alex Sak Perso.pdf.ots
super ultimate dynamic gestaltview 6 10 25 pdf,2,.pdf,Miscellaneous,Super Ultimate Dynamic GestaltView 🧠  6_10_25.pdf | Super Ultimate Dynamic GestaltView 🧠  6_10_25 (1).pdf,Super Ultimate Dynamic GestaltView 🧠  6_10_25.pdf.ots | Super Ultimate Dynamic GestaltView 🧠  6_10_25 (1).pdf.ots
the continuum codex by the tribunal of understanding 06 03 2025 pdf,2,.pdf,Tribunal / Validation,The Continuum Codex by The Tribunal of Understanding 06-03-2025.pdf (2) | The Continuum Codex by The Tribunal of Understanding 06-03-2025.pdf (1) (1),The Continuum Codex by The Tribunal of Understanding 06-03-2025.pdf (2).ots | The Continuum Codex by The Tribunal of Understanding 06-03-2025.pdf (1) (1).ots
the eagle remembers soulpod 000 pdf,2,.pdf,Miscellaneous,-The Eagle Remembers — SoulPod #000- (1).pdf | -The Eagle Remembers — SoulPod #000-.pdf,-The Eagle Remembers — SoulPod #000- (1).pdf.ots | -The Eagle Remembers — SoulPod #000-.pdf.ots
