component,function,evidence_file,package,evidence_type,skeptic_question_answered,status
FastAPI backend,API/service entrypoint and route orchestration,Keith_Soyka_Code_&_Context/main.py,Keith_Soyka_Code_&_Context,Code,Is there an actual backend or only concept prose?,Seeded
Context Weaver,"Retrieval, indexing, query fusion, 5W1H parsing",Keith_Soyka_Code_&_Context/context_weaver.py,Keith_Soyka_Code_&_Context,Code,Is there real context engineering beyond a simple chatbot?,Seeded
LLM Router Enhanced,Provider fallback and health-aware orchestration,Keith_Soyka_Code_&_Context/llmrouter_enhanced.py,Keith_Soyka_Code_&_Context,Code,Is multi-model orchestration implemented?,Seeded
Database Service,"Storage for PLK, bucket drops, sessions, analytics",Keith_Soyka_Code_&_Context/enhanced_database_service.py,Keith_Soyka_Code_&_Context,Code,Are the core concepts reflected in actual persistence models?,Seeded
Prisma schema,Relational/domain modeling,Keith_Soyka_Code_&_Context/Prisma_Schema.txt,Keith_Soyka_Code_&_Context,Schema,Was the concept translated into explicit data structures?,Seeded
Comprehensive YAML schema,Canonical domain schema and object relationships,Keith_Soyka_Code_&_Context/GestaltView_Comprehensive_Schema.yaml.txt,Keith_Soyka_Code_&_Context,Schema,Is there a system map beyond UI metaphors?,Seeded
PLK Analyzer,Frontend for personal language key / profile surface,Keith_Soyka_Code_&_Context/PLKAnalyzer.tsx,Keith_Soyka_Code_&_Context,UI code,Is personalization visible in the interface layer?,Seeded
Billy's Room,Therapeutic / witnessing / sanctuary module,Keith_Soyka_Code_&_Context/BillysRoom.tsx,Keith_Soyka_Code_&_Context,UI code,Are the care-oriented claims embodied in the product?,Seeded
Validation Wall,Recognition / witness / validation surface,Keith_Soyka_Code_&_Context/ValidationWall.tsx,Keith_Soyka_Code_&_Context,UI code,Does the system materially reflect its validation thesis?,Seeded
Ethics Framework,Visible ethics/governance surface,Keith_Soyka_Code_&_Context/EthicsFramework.tsx,Keith_Soyka_Code_&_Context,UI code,Is ethics treated as product architecture rather than a policy footnote?,Seeded
IP Protection Layer,"Blockchain Timestamping Method initiated mid-May 2025 on ChatGPT recommendation after IP legal outreach failed due to retainer cost. OpenTimestamps SHA-256 hashes anchored to Bitcoin. Scope is zipped archives and merged PDFs, yielding 172 .ots receipts covering 2,200+ artifacts. Earliest confirmed anchor in corpus: Bitcoin block 899481 (June 2, 2025).",Misc_Screenshots_2025_GestaltView.pdf; Seven-Month-Emergence-Of-GestaltView.pdf,Screenshot Corpus; Audio Transcript,Method note + screenshot evidence,Is IP protection method auditor-verifiable and methodologically coherent?,Updated
