sha256,count,package,relative_path
a0db4069e859c5c334b684b02f428878eb1c92f3cc216a0aa423289b15fbe133,2,GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #5.pdf
a0db4069e859c5c334b684b02f428878eb1c92f3cc216a0aa423289b15fbe133,2,GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #5.pdf
9c0d34b165ab0f0b6a283c9cbc14abb2c7bef90b1649c3acc48b7af667fd8efc,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #5.pdf
9c0d34b165ab0f0b6a283c9cbc14abb2c7bef90b1649c3acc48b7af667fd8efc,3,May_August_GestaltView_Create,Screenshots #5.pdf
9c0d34b165ab0f0b6a283c9cbc14abb2c7bef90b1649c3acc48b7af667fd8efc,3,Screenshots_Thoughts_More,Screenshots #5.pdf
851923481a93f0c2c671f7fbaafec3c5b307d1fc35251e612d2a76ba3d47389e,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #1.pdf
851923481a93f0c2c671f7fbaafec3c5b307d1fc35251e612d2a76ba3d47389e,3,May_August_GestaltView_Create,Screenshots #1.pdf
851923481a93f0c2c671f7fbaafec3c5b307d1fc35251e612d2a76ba3d47389e,3,Screenshots_Thoughts_More,Screenshots #1.pdf
5424b1215995fae4abdbdf7092360719793b0c51e51748dee5c3c2bdbe878b53,2,GestaltView Dynamic Corpus Compendium December 30th 2025,Merged_Markdowns_12_28_25.txt
5424b1215995fae4abdbdf7092360719793b0c51e51748dee5c3c2bdbe878b53,2,GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/Merged_Markdowns_12_28_25.txt
7110bae2448352c4ebb114b8aa54fccbdade6d138f156899d0ebd24ae195c470,2,GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #4.pdf
7110bae2448352c4ebb114b8aa54fccbdade6d138f156899d0ebd24ae195c470,2,GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #4.pdf
b3ccd6056f9da831dfba52b95230fa4a4742b6400b56b37a8a7e94f05e52ebe8,3,GestaltView Dynamic Corpus Compendium December 30th 2025,How I Taught AI To Care ©️ Keith Soyka 2025.pdf
b3ccd6056f9da831dfba52b95230fa4a4742b6400b56b37a8a7e94f05e52ebe8,3,May_August_GestaltView_Create,How I Taught AI To Care ©️ Keith Soyka 2025.pdf
b3ccd6056f9da831dfba52b95230fa4a4742b6400b56b37a8a7e94f05e52ebe8,3,Screenshots_Thoughts_More,How I Taught AI To Care ©️ Keith Soyka 2025.pdf
154d8613588468c371aff87abb6822c6aff5524e0efe2462c650afd0bd43bd1d,3,GestaltView Dynamic Corpus Compendium December 30th 2025,"Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf"
154d8613588468c371aff87abb6822c6aff5524e0efe2462c650afd0bd43bd1d,3,May_August_GestaltView_Create,"Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf"
154d8613588468c371aff87abb6822c6aff5524e0efe2462c650afd0bd43bd1d,3,Screenshots_Thoughts_More,"Screenshots Of July 1st, 2nd and 3rd 2025 🔐©️ Keith Soyka.pdf"
23d115e178fb0d80acebdaf57b9c75de6c7c3cb177fba27c3812a079b60ea9ee,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #2.pdf
23d115e178fb0d80acebdaf57b9c75de6c7c3cb177fba27c3812a079b60ea9ee,3,May_August_GestaltView_Create,Screenshots #2.pdf
23d115e178fb0d80acebdaf57b9c75de6c7c3cb177fba27c3812a079b60ea9ee,3,Screenshots_Thoughts_More,Screenshots #2.pdf
75a7155a4e84ce329da22346a4cb27ddede38e00307b042eb51fdd5d854377b4,2,GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #3.pdf
75a7155a4e84ce329da22346a4cb27ddede38e00307b042eb51fdd5d854377b4,2,GestaltView_#3_of_#3_12_29_25,GestaltView Corpus/GestaltView Corpus #3.pdf
c6a12da4b22028bca47c2be4286aa2dc1c6881115269b7fe9c4bfdfae5502f1c,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Rapid Prototype Engine .pdf
c6a12da4b22028bca47c2be4286aa2dc1c6881115269b7fe9c4bfdfae5502f1c,3,Keith_Soyka_Code_&_Context,Rapid Prototype Engine .pdf
c6a12da4b22028bca47c2be4286aa2dc1c6881115269b7fe9c4bfdfae5502f1c,3,gestaltview-v2-main,gestaltview-v2-main/.Perplexity/Rapid Prototype Engine .pdf
1e98d06ae09a13bc45918460bf51126773c4d88abc6a388ee1c460093ab4fc09,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots #3.pdf
1e98d06ae09a13bc45918460bf51126773c4d88abc6a388ee1c460093ab4fc09,3,May_August_GestaltView_Create,Screenshots #3.pdf
1e98d06ae09a13bc45918460bf51126773c4d88abc6a388ee1c460093ab4fc09,3,Screenshots_Thoughts_More,Screenshots #3.pdf
3c54040157a93f5a35c3ca183e8b3f1a229cd045a1798475cbfe75e923cd479e,3,GestaltView Dynamic Corpus Compendium December 30th 2025,Screenshots_#1.pdf
3c54040157a93f5a35c3ca183e8b3f1a229cd045a1798475cbfe75e923cd479e,3,May_August_GestaltView_Create,Screenshots_#1.pdf
3c54040157a93f5a35c3ca183e8b3f1a229cd045a1798475cbfe75e923cd479e,3,Screenshots_Thoughts_More,Screenshots_#1.pdf
38d73442be0956c6443b0bce966284bd23cfa787d33c3f23235b71cfe2cf530f,2,GestaltView Dynamic Corpus Compendium December 30th 2025,GestaltView Dynamic Corpus Part #2.pdf
